act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(a),such an assault as may reasonably cause the apprehension that death will otherwise be the consequence of such assault; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(b), (b) such an assault as may reasonably cause the apprehension that grievous hurt will otherwise be the consequence of such assault;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(c), an assault with the intention of committing rape;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(d), an assault with the intention of gratifying unnatural lust;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(e),an assault with the intention of kidnapping or abducting;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(f),"an assault with the intention of wrongfully confining a person, under circumstances which may reasonably cause him to apprehend that he will be unable to have recourse to the public authorities for his release; "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",38(g), an act of throwing or administering acid or an attempt to throw or administer acid which may reasonably cause the apprehension that grievous hurt will otherwise be the consequence of such act.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",39,"If the offence be not of any of the descriptions specified in section 38, the right of private defence of the body does not extend to the voluntary causing of death to the assailant, but does extend, under the restrictions specified in section 37, to the voluntary causing to the assailant of any harm other than death."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4,The punishments to which offenders are liable under the provisions of this Sanhita are—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(a),Death; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(b), Imprisonment for life; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(c)," Imprisonment, which is of two descriptions, namely:—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(c)(1)," Rigorous, that is, with hard labour;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(c)(2),Simple;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(d),Forfeiture of property;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(e), Fine;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",4(f),Community Service
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",40,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",41,"The right of private defence of property extends, under the restrictions specified in section 37, to the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",41(a),robbery; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",41(b), house-breaking after sunset and before sunrise;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",41(c),"mischief by fire or any explosive substance committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",41(d),"theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",42,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions specified in section 41, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions specified in section 37, to the voluntary causing to the wrong-doer of any harm other than death."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43,"The right of private defence of property,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43(a),(a) commences when a reasonable apprehension of danger to the property commences; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43(b)," against theft continues till the offender has effected his retreat with the property or either the assistance of the public authorities is obtained, or the property has been recovered; "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43(c), against robbery continues as long as the offender causes or attempts to cause to any person death or hurt or wrongful restraint or as long as the fear of instant death or of instant hurt or of instant personal restraint continues; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43(d),against criminal trespass or mischief continues as long as the offender continues in the commission of criminal trespass or mischief;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",43(e), against house-breaking after sunset and before sunrise continues as long as the house-trespass which has been begun by such house-breaking continues.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",44,"If in the exercise of the right of private defence against an assault which reasonably causes the apprehension of death, the defender be so situated that he cannot effectually exercise that right without risk of harm to an innocent person, his right of private defence extends to the running of that risk."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",45,"A person abets the doing of a thing, who—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",45(a), instigates any person to do that thing; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",45(b),"engages with one or more other person or persons in any conspiracy for the doing of that thing, if an act or illegal omission takes place in pursuance of that conspiracy, and in order to the doing of that thing; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",45(c),"intentionally aids, by any act or illegal omission, the doing of that thing."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",46,"A person abets an offence, who abets either the commission of an offence, or the commission of an act which would be an offence, if committed by a person capable by law of committing an offence with the same intention or knowledge as that of the abettor."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",47,"A person abets an offence within the meaning of this Sanhita who, in India, abets the commission of any act without and beyond India which would constitute an offence if committed in India."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",48,"A person abets an offence within the meaning of this Sanhita who, without and beyond India, abets the commission of any act in India which would constitute an offence if committed in India."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",49,"Whoever abets any offence shall, if the act abetted is committed in consequence of the abetment, and no express provision is made by this Sanhita for the punishment of such abetment, be punished with the punishment provided for the offence."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",5,"The appropriate Government may, without the consent of the offender, commute any punishment under this Sanhita to any other punishment in accordance with section 474 of the Bharatiya Nagarik Suraksha Sanhita, 2023."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",5(a)," in cases where the sentence is a sentence of death or is for an offence against any law relating to a matter to which the executive power of the Union extends, the Central Government; and "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",5(b)," in cases where the sentence (whether of death or not) is for an offence against any law relating to a matter to which the executive power of the State extends, the Government of the State within which the offender is sentenced."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",50,"Whoever abets the commission of an offence shall, if the person abetted does the act with a different intention or knowledge from that of the abettor, be punished with the punishment provided for the offence which would have been committed if the act had been done with the intention or knowledge of the abettor and with no other."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",51,"When an act is abetted and a different act is done, the abettor is liable for the act done, in the same manner and to the same extent as if he had directly abetted it: Provided that the act done was a probable consequence of the abetment, and was committed under the influence of the instigation, or with the aid or in pursuance of the conspiracy which constituted the abetment."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",52,"If the act for which the abettor is liable under section 51 is committed in addition to the act abetted, and constitute a distinct offence, the abettor is liable to punishment for each of the offences."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",53,"When an act is abetted with the intention on the part of the abettor of causing a particular effect, and an act for which the abettor is liable in consequence of the abetment, causes a different effect from that intended by the abettor, the abettor is liable for the effect caused, in the same manner and to the same extent as if he had abetted the act with the intention of causing that effect, provided he knew that the act abetted was likely to cause that effect."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",54,"Whenever any person, who is absent would be liable to be punished as an abettor, is present when the act or offence for which he would be punishable in consequence of the abetment is committed, he shall be deemed to have committed such act or offence."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",55,"Whoever abets the commission of an offence punishable with death or imprisonment for life, shall, if that offence be not committed in consequence of the abetment, and no express provision is made under this Sanhita for the punishment of such abetment, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and if any act for which the abettor is liable in consequence of the abetment, and which causes hurt to any person, is done, the abettor shall be liable to imprisonment of either description for a term which may extend to fourteen years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",56,"Whoever abets an offence punishable with imprisonment shall, if that offence be not committed in consequence of the abetment, and no express provision is made under this Sanhita for the punishment of such abetment, be punished with imprisonment of any description provided for that offence for a term which may extend to one-fourth part of the longest term provided for that offence; or with such fine as is provided for that offence, or with both; and if the abettor or the person abetted is a public servant, whose duty it is to prevent the commission of such offence, the abettor shall be punished with imprisonment of any description provided for that offence, for a term which may extend to one-half of the longest term provided for that offence, or with such fine as is provided for the offence, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",57,"Whoever abets the commission of an offence by the public generally or by any number or class of persons exceeding ten, shall be punished with imprisonment of either description for a term which may extend to seven years and with fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",58,"Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with death or imprisonment for life, voluntarily conceals by any act or omission, or by the use of encryption or any other information hiding tool, the existence of a design to commit such offence or makes any representation which he knows to be false respecting such design shall,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",58(a),"if that offence be committed, be punished with imprisonment of either description for a term which may extend to seven years; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",58(b),"if the offence be not committed, with imprisonment of either description, for a term which may extend to three years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",59,"Whoever, being a public servant, intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence which it is his duty as such public servant to prevent, voluntarily conceals, by any act or omission or by the use of encryption or any other information hiding tool, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design shall,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",59(a)," if the offence be committed, be punished with imprisonment of any description provided for the offence, for a term which may extend to one-half of the longest term of such imprisonment, or with such fine as is provided for that offence, or with both; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",59(b),"if the offence be punishable with death or imprisonment for life, with imprisonment of either description for a term which may extend to ten years; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",59(c),") if the offence be not committed, shall be punished with imprisonment of any description provided for the offence for a term which may extend to one-fourth part of the longest term of such imprisonment or with such fine as is provided for the offence, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",6,"In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years unless otherwise provided."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",60,"Whoever, intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with imprisonment, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design shall,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",60(a),"if the offence be committed, be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth; and"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",60(b),"if the offence be not committed, to one-eighth, of the longest term of such imprisonment, or with such fine as is provided for the offence, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61,Criminal conspiracy.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(1),"When two or more persons agree with the common object to do, or cause to be done––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(1)(a),an illegal act; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(1)(b),"an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy: Provided that no agreement except an agreement to commit an offence shall amount to a criminal conspiracy unless some act besides the agreement is done by one or more parties to such agreement in pursuance thereof."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(2),"Whoever is a party to a criminal conspiracy,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(2)(a),"to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, shall, where no express provision is made in this Sanhita for the punishment of such a conspiracy, be punished in the same manner as if he had abetted such offence;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",61(2)(b),"other than a criminal conspiracy to commit an offence punishable as aforesaid shall be punished with imprisonment of either description for a term not exceeding six months, or with fine or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",62,". Whoever attempts to commit an offence punishable by this Sanhita with imprisonment for life or imprisonment, or to cause such an offence to be committed, and in such attempt does any act towards the commission of the offence, shall, where no express provision is made by this Sanhita for the punishment of such attempt, be punished with imprisonment of any description provided for the offence, for a term which may extend to one-half of the imprisonment for life or, as the case may be, one-half of the longest term of imprisonment provided for that offence, or with such fine as is provided for the offence, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63,A man is said to commit “rape” if he—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(a),"penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or makes her to do so with him or any other person; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(b),"inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the urethra or anus of a woman or makes her to do so with him or any other person; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(c),"manipulates any part of the body of a woman so as to cause penetration into the vagina, urethra, anus or any part of body of such woman or makes her to do so with him or any other person; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d(i),against her will;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d),"applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or any other person, under the circumstances falling under any of the following seven descriptions:—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(ii),without her consent;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(iii),"with her consent, when her consent has been obtained by putting her or any person in whom she is interested, in fear of death or of hurt;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(iv),"with her consent, when the man knows that he is not her husband and that her consent is given because she believes that he is another man to whom she is or believes herself to be lawfully married;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(v),"with her consent when, at the time of giving such consent, by reason of unsoundness of mind or intoxication or the administration by him personally or through another of any stupefying or unwholesome substance, she is unable to understand the nature and consequences of that to which she gives consent;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(vi),"with or without her consent, when she is under eighteen years of age;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",63(d)(vii),when she is unable to communicate consent.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64,Punishment for rape.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(1)," Whoever, except in the cases provided for in sub-section (2), commits rape, shall be punished with rigorous imprisonment of either description for a term which shall not be less than ten years, but which may extend to imprisonment for life, and shall also be liable to fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2),"Whoever,—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(a),"being a police officer, commits rape,—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(a)(i),within the limits of the police station to which such police officer is appointed; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(a)(ii), in the premises of any station house; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(a)(iii),on a woman in such police officer’s custody or in the custody of a police officer subordinate to such police officer; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(b),"being a public servant, commits rape on a woman in such public servant’s custody or in the custody of a public servant subordinate to such public servant; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(c),being a member of the armed forces deployed in an area by the Central Government or a State Government commits rape in such area; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(d)," being on the management or on the staff of a jail, remand home or other place of custody established by or under any law for the time being in force or of a women’s or children’s institution, commits rape on any inmate of such jail, remand home, place or institution; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(e),"being on the management or on the staff of a hospital, commits rape on a woman in that hospital; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(f),"being a relative, guardian or teacher of, or a person in a position of trust or authority towards the woman, commits rape on such woman; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(g),commits rape during communal or sectarian violence; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(h),commits rape on a woman knowing her to be pregnant; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(i),"commits rape, on a woman incapable of giving consent; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(j),"being in a position of control or dominance over a woman, commits rape on such woman; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(k),commits rape on a woman suffering from mental or physical disability; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(l),while committing rape causes grievous bodily harm or maims or disfigures or endangers the life of a woman; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",64(2)(m),"commits rape repeatedly on the same woman, shall be punished with rigorous imprisonment for a term which shall not be less than ten years, but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and shall also be liable to fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",65,Punishment for rape in certain cases.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",65(1),"Whoever, commits rape on a woman under sixteen years of age shall be punished with rigorous imprisonment for a term which shall not be less than twenty years, but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and shall also be liable to fine: Provided that such fine shall be just and reasonable to meet the medical expenses and rehabilitation of the victim: Provided further that any fine imposed under this sub-section shall be paid to the victim."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",65(2),"Whoever, commits rape on a woman under twelve years of age shall be punished with rigorous imprisonment for a term which shall not be less than twenty years, but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and with fine or with death: Provided that such fine shall be just and reasonable to meet the medical expenses and rehabilitation of the victim: Provided further that any fine imposed under this sub-section shall be paid to the victim."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",66,"Whoever, commits an offence punishable under sub-section (1) or sub-section (2) of section 64 and in the course of such commission inflicts an injury which causes the death of the woman or causes the woman to be in a persistent vegetative state, shall be punished with rigorous imprisonment for a term which shall not be less than twenty years, but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, or with death."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",67,"Whoever has sexual intercourse with his own wife, who is living separately, whether under a decree of separation or otherwise, without her consent, shall be punished with imprisonment of either description for a term which shall not be less than two years but which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",68,"Whoever, being—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",68(a),in a position of authority or in a fiduciary relationship; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",68(b),a public servant; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",68(c),"superintendent or manager of a jail, remand home or other place of custody established by or under any law for the time being in force, or a women’s or children’s institution; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",68(d),"on the management of a hospital or being on the staff of a hospital,abuses such position or fiduciary relationship to induce or seduce any woman either in his custody or under his charge or present in the premises to have sexual intercourse with him, such sexual intercourse not amounting to the offence of rape, shall be punished with rigorous imprisonment of either description for a term which shall not be less than five years, but which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",69,"Whoever, by deceitful means or by making promise to marry to a woman without any intention of fulfilling the same, has sexual intercourse with her, such sexual intercourse not amounting to the offence of rape, shall be punished with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",7,"In every case in which an offender is punishable with imprisonment which may be of either description, it shall be competent to the Court which sentences such offender to direct in the sentence that such imprisonment shall be wholly rigorous, or that such imprisonment shall be wholly simple, or that any part of such imprisonment shall be rigorous and the rest simple"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",70,Gang rape.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",70(1),"Where a woman is raped by one or more persons constituting a group or acting in furtherance of a common intention, each of those persons shall be deemed to have committed the offence of rape and shall be punished with rigorous imprisonment for a term which shall not be less than twenty years, but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person’s natural life, and with fine: Provided that such fine shall be just and reasonable to meet the medical expenses and rehabilitation of the victim: Provided further that any fine imposed under this sub-section shall be paid to the victim. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",70(2),"Where a woman under eighteen years of age is raped by one or more persons constituting a group or acting in furtherance of a common intention, each of those persons shall be deemed to have committed the offence of rape and shall be punished with imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and with fine, or with death: Provided that such fine shall be just and reasonable to meet the medical expenses and rehabilitation of the victim: Provided further that any fine imposed under this sub-section shall be paid to the victim"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",71,"Whoever has been previously convicted of an offence punishable under section 64 or section 65 or section 66 or section 70 and is subsequently convicted of an offence punishable under any of the said sections shall be punished with imprisonment for life which shall mean imprisonment for the remainder of that person’s natural life, or with death."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72,"Disclosure of identity of victim of certain offences, etc"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72(1),Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 64 or section 65 or section 66 or section 67 or section 68 or section 69 or section 70 or section 71 is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72(2),Nothing in sub-section (1) extends to any printing or publication of the name or any matter which may make known the identity of the victim if such printing or publication is—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72(2)(a),by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72(2)(b),"by, or with the authorisation in writing of, the victim; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",72(2)(c),"where the victim is dead or a child or of unsound mind, by, or with the authorisation in writing of, the next of kin of the victim: Provided that no such authorisation shall be given by the next of kin to anybody other than the chairman or the secretary, by whatever name called, of any recognised welfare institution or organisation."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",73,Whoever prints or publishes any matter in relation to any proceeding before a Court with respect to an offence referred to in section 72 without the previous permission of such Court shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",74,"Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will thereby outrage her modesty, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75,Sexual harassment.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(1),A man committing any of the following acts:—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(1)(i),physical contact and advances involving unwelcome and explicit sexual overtures; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(1)(ii), a demand or request for sexual favours; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(1)(iii),"making sexually coloured remarks, shall be guilty of the offence of sexual harassment."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(1)(iv),"making sexually coloured remarks, shall be guilty of the offence of sexual harassment."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(2),"Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",75(3),"Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",76,"Whoever assaults or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",77,"Whoever watches, or captures the image of a woman engaging in a private act in circumstances where she would usually have the expectation of not being observed either by the perpetrator or by any other person at the behest of the perpetrator or disseminates such image shall be punished on first conviction with imprisonment of either description for a term which shall not be less than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a second or subsequent conviction, with imprisonment of either description for a term which shall not be less than three years, but which may extend to seven years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78,Stalking.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1),Any man who—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1)(i),"follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1)(ii),"monitors the use by a woman of the internet, e-mail or any other form of electronic communication, commits the offence of stalking: Provided that such conduct shall not amount to stalking if the man who pursued it proves that—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1)(ii)(i),it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1)(ii)(ii), it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(1)(ii)(iii),in the particular circumstances such conduct was reasonable and justified
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",78(2),"Whoever commits the offence of stalking shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and be punished on a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",79,"Whoever, intending to insult the modesty of any woman, utters any words, makes any sound or gesture, or exhibits any object in any form, intending that such word or sound shall be heard, or that such gesture or object shall be seen, by such woman, or intrudes upon the privacy of such woman, shall be punished with simple imprisonment for a term which may extend to three years, and also with fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8,"Amount of fine, liability in default of payment of fine, etc."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(1),"Where no sum is expressed to which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be excessive. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(2),In every case of an offence––
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(2)(a),"punishable with imprisonment as well as fine, in which the offender is sentenced to a fine, whether with or without imprisonment;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(2)(b)," punishable with imprisonment or fine, or with fine only, in which the offender is sentenced to a fine, it shall be competent to the Court which sentences such offender to direct by the sentence that, in default of payment of the fine, the offender shall suffer imprisonment for a certain term, in which imprisonment shall be in excess of any other imprisonment to which he may have been sentenced or to which he may be liable under a commutation of a sentence."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(3),"The term for which the Court directs the offender to be imprisoned in default of payment of a fine shall not exceed one-fourth of the term of imprisonment which is the maximum fixed for the offence, if the offence be punishable with imprisonment as well as fine. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(4),The imprisonment which the Court imposes in default of payment of a fine or in default of community service may be of any description to which the offender might have been sentenced for the offence. 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(5),"If the offence is punishable with fine or community service, the imprisonment which the Court imposes in default of payment of the fine or in default of community service shall be simple, and the term for which the Court directs the offender to be imprisoned, in default of payment of fine or in default of community service, shall not exceed,— "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(5)(a), two months when the amount of the fine does not exceed five thousand rupees;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",8(5)(b), four months when the amount of the fine does not exceed ten thousand rupees; and 
